velo_e	velo_d	v_e_lib	v_d_lib
105.505	158.258	358	360	8.26901
164.85	164.85	359	357	8.28114
133.561	133.561	360	354	8.29612
198.824	132.549	355	352	8.31121
134.18	134.18	354	354	8.32611
132.843	132.843	344	344	8.34117
134.608	201.912	348	345	8.35602
104.165	104.165	354	347	8.37522
182.151	182.151	353	345	8.3862
216.246	144.164	353	351	8.40008
167.598	167.598	358	352	8.41201
140.816	140.816	357	353	8.42621
125.093	125.093	358	367	8.4422
133.255	133.255	354	364	8.45721
127.264	127.264	360	365	8.47293
130.346	195.519	355	366	8.48827
143.358	143.358	351	369	8.50222
134.106	134.106	356	370	8.51713
134.586	134.586	360	365	8.53199
140.797	140.797	359	365	8.5462
199.182	132.788	363	355	8.56126
90.8193	90.8193	365	356	8.58328
156.914	156.914	369	363	8.59603
152.623	228.935	368	358	8.60913
195.441	130.294	370	358	8.62448
132.316	198.474	370	357	8.6396
142.913	214.37	371	355	8.65359
129.138	129.138	360	360	8.66908
137.914	137.914	361	359	8.68358
129.09	129.09	359	363	8.69907
97.2065	194.413	358	360	8.71965
186.56	124.373	352	361	8.73573
241.768	161.179	359	363	8.74814
193.949	290.923	365	358	8.75845
135.789	135.789	374	359	8.78054
131.813	131.813	363	358	8.79572
140.506	140.506	369	355	8.80995
190.64	285.96	369	350	8.82044
233.383	155.588	374	359	8.8333
157.461	157.461	374	352	8.846
141.747	141.747	368	360	8.86011
196.971	131.314	370	347	8.87534
135.972	135.972	366	349	8.89005
132.573	198.859	363	345	8.90513
200.604	200.604	357	354	8.92009
131.66	131.66	362	356	8.93528
135.072	135.072	365	358	8.95009
223.146	178.517	366	356	8.97249
186.914	186.914	360	364	8.98319
153.526	153.526	358	360	8.99622
148.868	223.303	362	361	9.00965
140.472	140.472	360	365	9.02389
132.018	198.027	362	372	9.03904
141.725	141.725	362	367	9.05315
130.631	195.946	365	372	9.06846
134.479	134.479	365	373	9.08334
191.299	127.533	372	372	9.09902
143.278	143.278	373	370	9.11298
140.941	93.9606	374	366	9.13426
134.165	201.248	361	369	9.14917
142.844	142.844	361	365	9.16317
88.8865	88.8865	355	359	9.18567
142.861	142.861	355	361	9.19967
197.638	131.759	357	365	9.21485
134.862	134.862	356	368	9.22968
124.823	124.823	355	362	9.2457
137.602	137.602	363	368	9.26024
160.622	160.622	357	365	9.27891
174.326	174.326	359	364	9.29039
133.962	200.943	367	363	9.30532
200.894	133.929	357	355	9.32025
107.057	160.586	352	353	9.33893
164.626	164.626	353	345	9.35108
160.992	160.992	355	360	9.36972
128.846	128.846	362	348	9.38524
168.886	168.886	360	353	9.39708
134.027	134.027	355	356	9.412
140.942	140.942	277	352	9.42619
128.33	128.33	353	353	9.44178
139.512	139.512	345	352	9.45611
132.697	132.697	357	358	9.47118
107.553	107.553	360	361	9.48978
164.109	164.109	360	359	9.50197
140.478	140.478	355	363	9.5162
124.998	124.998	355	364	9.5322
198.753	132.502	364	361	9.5473
136.648	136.648	355	358	9.56194
141.445	141.445	361	361	9.58314
154.134	154.134	368	365	9.59612
153.114	153.114	372	357	9.60918
141.397	141.397	373	355	9.62333
126.423	126.423	375	354	9.63915
138.696	208.043	377	348	9.65357
194.176	194.176	372	348	9.66902
130.588	130.588	360	355	9.68433
200.808	133.872	360	360	9.69927
214.37	142.914	365	372	9.71327
126.026	189.039	364	371	9.72914
197.983	131.989	359	371	9.74429
134.193	134.193	366	368	9.75919
113.268	113.268	368	370	9.77685
134.225	134.225	360	371	9.79175
128.765	193.148	357	366	9.80728
137.251	137.251	362	365	9.82914
198.814	198.814	366	364	9.8392
152.379	152.379	360	363	9.85233
188.058	188.058	367	357	9.86828
146.032	219.047	365	349	9.88197
196.014	130.676	370	347	9.89728
156.475	156.475	370	355	9.91006
131.52	131.52	371	360	9.92527
199.212	132.808	374	363	9.94033
130.237	130.237	382	364	9.95568
104.151	104.151	365	362	9.97489
148.147	222.22	357	357	9.98839
142.372	142.372	362	355	10.0024
126.758	126.758	368	366	10.0182
142.45	142.45	362	362	10.0323
123.987	123.987	358	366	10.0484
143.339	215.009	361	374	10.0623
188.025	125.35	368	371	10.0783
142.957	142.957	362	377	10.0923
132.812	132.812	371	369	10.1073
134.307	134.307	370	366	10.1222
105.445	158.167	365	369	10.1412
165.438	165.438	287	361	10.1533
129.034	193.552	367	356	10.1688
116.024	116.024	361	356	10.186
139.891	139.891	360	363	10.2003
129.922	129.922	356	362	10.2157
193.939	129.293	359	362	10.2312
133.031	199.547	357	377	10.2462
194.674	129.783	358	366	10.2616
138.206	138.206	356	367	10.2761
124.804	124.804	357	362	10.2921
133.11	199.666	355	360	10.3072
133.482	133.482	348	354	10.3221
142.383	142.383	350	354	10.3362
126.516	189.774	355	346	10.352
216.65	162.487	359	354	10.3705
130.538	130.538	359	355	10.3858
159.187	159.187	361	351	10.3983
231.222	154.148	357	361	10.4113
166.717	166.717	354	361	10.4233
189.405	189.405	357	365	10.4391
131.963	131.963	356	367	10.4543
195.792	130.528	360	364	10.4696
143.002	143.002	356	367	10.4836
128.634	192.951	349	366	10.4992
141.848	141.848	355	363	10.5133
126.415	189.622	354	360	10.5291
140.402	140.402	356	370	10.5433
187.587	125.058	363	357	10.5593
112.884	112.884	360	362	10.577
150.844	150.844	370	362	10.5903
188.601	188.601	373	357	10.6062
153.891	153.891	377	362	10.6257
155.663	155.663	371	360	10.6385
144.316	144.316	377	357	10.6524
187.957	187.957	368	364	10.6684
135.708	135.708	367	365	10.6831
161.439	161.439	361	362	10.7017
225.829	225.829	365	368	10.715
135.941	135.941	367	372	10.7297
194.804	194.804	376	357	10.7451
124.365	186.548	363	357	10.7612
140.259	93.5059	365	358	10.7825
168.058	252.087	367	358	10.7944
125.651	125.651	370	356	10.8104
196.141	130.761	368	357	10.8257
128.9	128.9	364	360	10.8412
133.263	199.894	355	346	10.8562
132.886	132.886	360	354	10.8712
202.461	134.974	355	355	10.8861
132.291	132.291	356	352	10.9012
200.903	150.678	360	363	10.9211
119.293	178.939	360	365	10.9378
191.291	191.291	370	359	10.9483
142.435	213.653	365	364	10.9623
181.646	181.646	361	362	10.9789
312.606	234.454	363	361	10.9917
149.023	99.349	372	366	11.0118
139.446	139.446	375	361	11.0261
153.884	230.826	375	369	11.0391
211.818	141.212	372	370	11.0533
126.383	189.575	368	373	11.0691
141.466	141.466	373	378	11.0833
190.156	190.156	379	373	11.099
165.603	165.603	379	379	11.1171
236.456	236.456	376	378	11.1298
207.437	138.291	373	371	11.1443
130.31	195.465	365	367	11.1596
174.221	116.147	356	369	11.1769
223.762	149.174	355	366	11.1903
130.144	130.144	356	363	11.2056
184.272	122.848	354	366	11.2219
140.387	210.58	352	364	11.2362
132.573	132.573	355	361	11.2512
106.251	159.376	360	353	11.2701
166.19	166.19	352	354	11.2821
142.834	142.834	348	347	11.2961
132.642	132.642	347	346	11.3112
133.397	133.397	351	349	11.3262
194.18	194.18	347	348	11.3416
139.21	139.21	349	348	11.356
100.102	100.102	272	352	11.376
153.668	153.668	347	352	11.389
140.05	140.05	348	350	11.4033
125.835	125.835	347	352	11.4192
138.937	138.937	355	358	11.4336
128.135	192.202	354	362	11.4492
136.411	136.411	360	361	11.4638
131.122	196.683	358	360	11.4791
140.92	140.92	360	360	11.4933
127.451	127.451	356	359	11.509
122.86	122.86	357	362	11.5252
134.996	134.996	363	354	11.5401
140.162	140.162	369	360	11.5543
200.711	100.356	366	364	11.5743
166.745	166.745	369	362	11.5863
129.186	129.186	369	282	11.6017
138.543	138.543	370	357	11.6162
198.417	132.278	372	351	11.6313
134.807	134.807	371	346	11.6461
132.277	132.277	371	348	11.6612
200.743	133.829	370	349	11.6762
199.314	199.314	362	354	11.6912
135.164	135.164	365	360	11.706
123.599	185.399	357	362	11.7222
199.602	133.068	362	362	11.7373
203.676	135.784	365	359	11.752
214.211	214.211	364	369	11.7707
185.421	123.614	368	372	11.7868
164.082	246.123	370	372	11.799
196.558	131.039	376	374	11.8143
191.906	127.937	373	371	11.8299
208.92	139.28	372	373	11.8443
194.744	129.83	369	367	11.8597
128.96	128.96	366	358	11.8752
135.328	135.328	368	360	11.89
131.614	131.614	366	356	11.9052
197.673	197.673	362	353	11.9203
134.142	134.142	369	355	11.9353
133.529	133.529	366	353	11.9502
197.283	197.283	363	356	11.9705
196.428	130.952	363	349	11.9858
159.823	159.823	358	346	11.9983
142.36	142.36	285	354	12.0123
174.132	87.0662	286	362	12.0353
153.375	153.375	367	366	12.0484
185.404	278.105	354	366	12.0591
